,month,product,price,sales
0,1,1,7.309891192256989,32.0
1,1,2,7.823706313110666,27.0
2,2,1,7.811479241455904,27.0
3,2,2,6.74505641216464,38.0
4,3,1,7.8592968157692065,30.0
5,3,2,7.75071630140952,25.0
6,4,1,4.395489766019541,37.0
7,4,2,6.273425160933044,34.0
8,5,1,9.755983407948294,22.0
9,5,2,6.3049173247412895,46.0
10,6,1,8.38806983584327,30.0
11,6,2,8.049734780481236,31.0
12,7,1,6.815956695906061,33.0
13,7,2,7.4133217908507065,33.0
14,8,1,6.457289504916195,30.0
15,8,2,8.355860232609077,30.0
16,9,1,8.08208219422312,27.0
17,9,2,8.40696932292043,33.0
18,10,1,5.354848965778874,37.0
19,10,2,7.549375023169718,28.0
20,11,1,8.300341444872256,28.0
21,11,2,8.324241336000693,26.0
22,12,1,7.506822152035713,25.0
23,12,2,5.840434951342507,37.0
24,13,1,5.900246218365653,40.0
25,13,2,8.064081565725347,24.0
26,14,1,6.774203922615392,22.0
27,14,2,7.442196565626456,41.0
28,15,1,9.048536632925705,23.0
29,15,2,7.826868637536703,35.0
30,16,1,7.296072984045975,25.0
31,16,2,7.726870478798425,36.0
32,17,1,6.809210880958282,33.0
33,17,2,8.149309126112083,27.0
34,18,1,6.878474377470423,25.0
35,18,2,6.107050154758742,41.0
36,19,1,7.3575575369114015,24.0
37,19,2,6.299698010979354,44.0
38,20,1,5.533367928998277,36.0
39,20,2,5.858139633160876,27.0
40,21,1,5.624487269933863,35.0
41,21,2,7.5607804605494335,27.0
42,22,1,4.763726447528267,47.0
43,22,2,5.685514477501346,32.0
44,23,1,7.8283763976817635,31.0
45,23,2,8.972301157278231,24.0
46,24,1,7.242275817148674,42.0
47,24,2,7.306186987732407,27.0
48,25,1,5.594396369666776,39.0
49,25,2,6.467380112145615,38.0
50,26,1,5.74885896044396,36.0
51,26,2,6.244832094184493,31.0
52,27,1,6.749830668347765,30.0
53,27,2,7.509944114518731,28.0
54,28,1,8.607871772172444,25.0
55,28,2,7.367785888627083,36.0
56,29,1,8.327657904552188,28.0
57,29,2,6.361845719362437,34.0
58,30,1,7.82215685854284,32.0
59,30,2,8.81222252618127,23.0
60,31,1,8.818066821763377,27.0
61,31,2,9.321602802524067,21.0
62,32,1,6.046239648321936,24.0
63,32,2,6.736740603641126,42.0
64,33,1,9.687219574518265,22.0
65,33,2,8.511928905773516,29.0
66,34,1,7.049721778404013,28.0
67,34,2,6.694110620664472,34.0
68,35,1,8.316149786240898,34.0
69,35,2,7.045832402215184,33.0
70,36,1,7.00584760716944,28.0
71,36,2,5.49956636058058,42.0
72,37,1,8.24978326069469,34.0
73,37,2,7.62996882429066,29.0
74,38,1,6.914958125172763,28.0
75,38,2,6.696941127045423,39.0
76,39,1,8.677735819907834,30.0
77,39,2,9.076577435015949,26.0
78,40,1,7.637728072731895,28.0
79,40,2,6.971742185938584,35.0
80,41,1,6.442624936217708,29.0
81,41,2,7.867382055017411,31.0
82,42,1,6.130747047371461,33.0
83,42,2,5.136332969996531,39.0
84,43,1,8.236451607936303,27.0
85,43,2,5.859405186331776,43.0
86,44,1,7.581147867383136,23.0
87,44,2,6.7141303043547795,42.0
88,45,1,6.623180676628834,30.0
89,45,2,6.652969739268243,34.0
90,46,1,7.806413194295686,28.0
91,46,2,6.839367347583263,38.0
92,47,1,4.811672569660993,35.0
93,47,2,5.23951301858501,32.0
94,48,1,7.378783911795137,27.0
95,48,2,8.849899322636167,25.0
96,49,1,3.5577625034647276,42.0
97,49,2,5.449527225084758,30.0
98,50,1,6.850451579097777,42.0
99,50,2,10.554245121888483,16.0
100,51,1,9.487156128927074,12.0
101,51,2,4.942323990824445,46.0
102,52,1,9.026192298125883,30.0
103,52,2,10.79096521956295,20.0
